idManifestacion	place	entity	date	lugarPublicacionOriginal
226595	Alicante	Universidad		Alicante, Universidad, Departamento de Literatura Española
228834	Madrid	Administración		Madrid, Administración, [189-?].
229860	Barcelona	Llibreria Espanyola de López		Barcelona, Llibreria Espanyola de López, 189-?.
229964	Barcelona	Antoni López ; Llibrería Espanyola		Barcelona, Antoni López ; Llibrería Espanyola, [189-?]
229986	Barcelona	Antoni López ; Llibrería Espanyola		Barcelona, Antoni López ; Llibrería Espanyola, [189-?]
230174	Barcelona	Juan Pons		Barcelona, Juan Pons, [s.a.]
230349	  			[13--]
230352	 			[14--]
231137	México	Dirección General de Televisión Universitaria		México, Dirección General de Televisión Universitaria, TV UNAM
231267	S.l			[S.l.
232141	Madrid	Tomás Minuesa		Madrid, [Tomás Minuesa]
232162	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232163	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232164	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232165	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232166	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232167	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232168	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232169	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232171	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232172	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232173	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232174	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232175	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232176	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232177	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232178	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232179	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232180	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232184	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232185	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232186	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232187	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232188	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232189	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232191	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232193	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232282	Rio de Janeiro	Livraria Sao José		Rio de Janeiro, Livraria Sao José
232284	Granada	Universidad		Granada, Universidad
232286	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232287	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232297	Granada			Granada: Universidad
232307	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232308	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232309	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232310	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232311	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232312	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232313	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232316	Sevilla			Sevilla: Escuela de Estudios Hispano-Americanos
232317	Buenos Aires 			Buenos Aires : Universidad de Buenos Aires
232687	Madrid ; Paris	Biblioteca Perojo		Madrid ; Paris, Biblioteca Perojo, [s.n].
232695	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232697	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232938	Cádiz			Cádiz
232954	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232955	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232956	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232957	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232958	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
232959	Madrid	Instituto de Cooperación Iberoamericana		Madrid, Instituto de Cooperación Iberoamericana
233016	Valladolid	Universidad de Valladolid		Valladolid, Universidad de Valladolid
233020	Tarragona	Real Sociedad Arqueológica Tarraconense		Tarragona, Real Sociedad Arqueológica Tarraconense
233043	Barcelona	Servicio de Investigaciones Arqueológicas de la Diputación Provincial		Barcelona, Servicio de Investigaciones Arqueológicas de la Diputación Provincial
233044	Teruel	Instituto de Estudios Turolenses		Teruel, Instituto de Estudios Turolenses
233614	Manuscrito b de la Real Academia Española y del manuscrito  del Archivo del Monasterio de Santo Domingo de Silos			Manuscrito 4b de la Real Academia Española y del manuscrito 93 del Archivo del Monasterio de Santo Domingo de Silos
